DateTime,Subscribers,Videos,Views
2019-09-30 17:14:25Z, 1, 1, 497
2019-09-30 17:46:17Z, 1, 1, 497
2019-09-30 17:47:43Z, 1, 1, 497
2019-09-30 17:56:09Z, 1, 1, 497
2019-09-30 18:02:21Z, 1, 1, 497
2019-09-30 19:23:43Z, 1, 1, 497
2019-09-30 19:30:16Z, 1, 1, 497
2019-09-30 19:31:29Z, 1, 1, 497
2019-09-30 19:33:09Z, 1, 1, 497
2019-09-30 19:36:42Z, 1, 1, 497
2019-09-30 19:39:40Z, 1, 1, 497
2019-09-30 19:40:03Z, 1, 1, 497
2019-10-02 16:53:45Z, 1, 1, 497
2019-10-02 17:08:58Z, 1, 1, 497
2019-10-02 17:21:56Z, 1, 1, 497
2019-10-02 17:33:32Z, 1, 1, 497
2019-10-02 17:46:52Z, 1, 1, 497
2019-10-02 17:47:18Z, 1, 1, 497
2019-10-02 17:47:29Z, 1, 1, 497
2019-10-02 17:47:39Z, 1, 1, 497
2019-10-02 17:48:06Z, 1, 1, 497
2019-10-02 17:49:45Z, 1, 1, 497
2019-10-02 17:50:54Z, 1, 1, 497
2019-10-02 17:51:10Z, 1, 1, 497
2019-10-02 17:59:01Z, 1, 1, 497
2019-10-02 18:01:02Z, 1, 1, 497
2019-10-02 18:03:13Z, 1, 1, 497
2019-10-02 18:03:28Z, 1, 1, 497
2019-10-02 18:06:26Z, 1, 1, 497
2019-10-02 18:19:32Z, 1, 1, 497
2019-10-02 18:25:04Z, 1, 1, 497
2019-10-02 18:26:08Z, 1, 1, 497
2019-10-02 18:45:17Z, 1, 1, 497
2019-10-02 19:08:45Z, 1, 1, 497
2019-10-02 19:37:45Z, 1, 1, 497
2019-10-02 20:05:38Z, 1, 1, 497
2019-10-03 14:38:04Z, 1, 1, 497
2019-10-03 14:49:05Z, 1, 1, 497
2019-10-03 14:54:54Z, 1, 1, 497
2019-10-03 14:55:53Z, 1, 1, 497
2019-10-03 16:23:50Z, 1, 1, 497
2019-10-03 16:29:30Z, 1, 1, 497
2019-10-03 16:29:49Z, 1, 1, 497
2019-10-03 16:30:09Z, 1, 1, 497
2019-10-03 16:30:43Z, 1, 1, 497
2019-10-03 16:31:17Z, 1, 1, 497
2019-10-03 16:38:29Z, 1, 1, 497
2019-10-03 16:39:47Z, 1, 1, 497
2019-10-03 16:55:24Z, 1, 1, 497
2019-10-03 16:55:41Z, 1, 1, 497
2019-10-03 17:00:12Z, 1, 1, 497
2019-10-03 17:12:34Z, 1, 1, 497
2019-10-03 17:48:24Z, 1, 1, 497
2019-10-03 18:09:43Z, 1, 1, 497
2019-10-03 20:03:58Z, 1, 1, 497
2019-10-04 14:29:52Z, 1, 1, 497
2019-10-04 15:51:19Z, 1, 1, 497
2019-10-04 16:05:41Z, 1, 1, 497
2019-10-04 16:07:32Z, 1, 1, 497
2019-10-04 16:10:10Z, 1, 1, 497
2019-10-04 16:18:08Z, 1, 1, 497
2019-10-04 16:28:34Z, 1, 1, 497
2019-10-04 16:29:10Z, 1, 1, 497
2019-10-04 16:39:20Z, 1, 1, 497
2019-10-04 16:47:08Z, 1, 1, 497
2019-10-04 17:20:09Z, 1, 1, 497
2019-10-04 17:20:39Z, 1, 1, 497
2019-10-04 17:24:05Z, 1, 1, 497
2019-10-04 18:22:21Z, 1, 1, 497
2019-10-04 18:22:56Z, 1, 1, 497
2019-10-04 18:23:15Z, 1, 1, 497
2019-10-04 18:33:35Z, 1, 1, 497
2019-10-04 18:49:35Z, 1, 1, 497
2019-10-04 19:00:39Z, 1, 1, 497
2019-10-05 10:18:21Z, 1, 1, 497
